"name","url","feed_url","category","topics","is_active","source_type"
"Inc42","https://inc42.com/features/","https://inc42.com/feed/","Indian Startup","[""indian-startups"",""funding"",""indian-unicorns"",""indian-tech""]","true","indian_startup"
"YourStory","https://yourstory.com/latest","https://yourstory.com/feed","Indian Startup","[""indian-startups"",""founder-stories"",""indian-ecosystem"",""social-entrepreneurship""]","true","indian_startup"
"Entrackr","https://entrackr.com/news/","https://entrackr.com/feed/","Indian Startup","[""indian-startups"",""indian-fintech"",""funding-data"",""indian-internet""]","true","indian_startup"
"The Ken","https://the-ken.com/stories/","https://the-ken.com/feed/","Indian Startup","[""indian-startups"",""india-business"",""deep-reporting"",""indian-economy""]","true","indian_startup"
"Founding Fuel","https://www.foundingfuel.com/articles/","https://www.foundingfuel.com/feed/","Indian Startup","[""indian-entrepreneurship"",""case-studies"",""indian-startups"",""founder-stories""]","true","indian_startup"
"ET Startups","https://economictimes.indiatimes.com/tech/startups","https://economictimes.indiatimes.com/tech/startups/rssfeeds/78570550.cms","Indian Startup","[""indian-startups"",""funding"",""indian-unicorns"",""regulation""]","true","indian_startup"
"Mint — Startups","https://www.livemint.com/companies/start-ups","https://www.livemint.com/rss/companies","Indian Startup","[""indian-startups"",""unit-economics"",""funding"",""indian-economy""]","true","indian_startup"
"Moneycontrol Startups","https://www.moneycontrol.com/news/business/startup/","https://www.moneycontrol.com/rss/business/startups.xml","Indian Startup","[""indian-startups"",""valuation"",""funding"",""indian-tech""]","true","indian_startup"
"SaaSBoomi Blog","https://saasboomi.com/blog/","https://saasboomi.com/blog/feed/","Indian Startup","[""india-saas"",""b2b-india"",""founder-stories"",""indian-startups""]","true","indian_startup"
"iSPIRT Blog","https://ispirt.in/blog/","https://ispirt.in/blog/feed/","Indian Startup","[""india-product"",""policy"",""india-saas"",""indian-startups""]","true","indian_startup"
"Blume Ventures Blog","https://blume.vc/posts","https://blume.vc/feed/","Indian Startup","[""india-vc"",""seed-stage"",""indian-startups"",""portfolio-insights""]","true","indian_startup"
"The Tech Panda","https://thetechpanda.com/category/news/","https://thetechpanda.com/feed/","Indian Startup","[""indian-startups"",""indian-tech"",""innovation"",""deep-tech-india""]","true","indian_startup"
"VCCircle","https://www.vccircle.com/news","https://www.vccircle.com/feed","Indian Startup","[""india-vc"",""private-equity"",""indian-startups"",""m&a-india""]","true","indian_startup"
"NextBigWhat","https://nextbigwhat.com/category/startups/","https://nextbigwhat.com/feed/","Indian Startup","[""indian-startups"",""product-india"",""indian-tech"",""innovation""]","true","indian_startup"
"TechCrunch","https://techcrunch.com/latest/","https://techcrunch.com/feed/","Global Tech","[""startups"",""venture-capital"",""tech-news"",""product-launches""]","true","business"
"Y Combinator Blog","https://www.ycombinator.com/blog","https://blog.ycombinator.com/rss/","Global Tech","[""startup-advice"",""yc"",""founder"",""early-stage""]","true","business"
"Paul Graham Essays","http://paulgraham.com/articles.html","http://paulgraham.com/rss.html","Global Tech","[""startups"",""essays"",""founder"",""startup-advice""]","true","business"
"Sam Altman Blog","https://blog.samaltman.com/","https://blog.samaltman.com/feed.xml","Global Tech","[""startups"",""ai"",""strategy"",""founder""]","true","business"
"First Round Review","https://review.firstround.com/","https://review.firstround.com/feed.xml","Global Tech","[""startups"",""startup-advice"",""founder"",""venture-capital""]","true","business"
"a16z Blog","https://a16z.com/articles/","https://a16z.com/feed/","Global Tech","[""venture-capital"",""startup-strategy"",""tech"",""ai""]","true","business"
"Sequoia Capital Blog","https://www.sequoiacap.com/our-perspective/","https://www.sequoiacap.com/feed/","Global Tech","[""venture-capital"",""startup-strategy"",""founder"",""growth""]","true","business"
"Tom Tunguz","https://tomtunguz.com/","https://tomtunguz.com/index.xml","Global Tech","[""saas"",""venture-capital"",""startup-metrics"",""data-driven""]","true","business"
"Feld Thoughts","https://feld.com/archives/","https://feld.com/feed/","Global Tech","[""venture-capital"",""startups"",""entrepreneurship"",""startup-advice""]","true","business"
"Both Sides of the Table","https://bothsidesofthetable.com/","https://bothsidesofthetable.com/feed","Global Tech","[""venture-capital"",""startups"",""fundraising"",""founder""]","true","business"
"AVC (Fred Wilson)","https://avc.com/","https://avc.com/feed/","Global Tech","[""venture-capital"",""startups"",""crypto"",""founder""]","true","business"
"Strictly VC","https://strictlyvc.com/newsletter/","https://strictlyvc.com/feed/","Global Tech","[""venture-capital"",""tech-news"",""funding""]","true","business"
"The Information","https://www.theinformation.com/latest","https://www.theinformation.com/feed","Global Tech","[""tech-news"",""startups"",""big-tech"",""deep-reporting""]","true","business"
"Hacker News","https://news.ycombinator.com/newest","https://news.ycombinator.com/rss","Global Tech","[""tech-news"",""startup-discussion"",""engineering"",""product""]","true","engineering"
"OpenAI Blog","https://openai.com/news/","https://openai.com/blog/rss.xml","AI","[""llm"",""ai-research"",""gpt"",""ai-safety""]","true","technical_ai"
"Anthropic Blog","https://www.anthropic.com/news","https://www.anthropic.com/feed.xml","AI","[""ai-safety"",""llm"",""ai-research"",""claude""]","true","technical_ai"
"Google DeepMind Blog","https://deepmind.google/discover/blog/","https://deepmind.google/discover/blog/rss.xml","AI","[""ai-research"",""deep-learning"",""reinforcement-learning"",""llm""]","true","technical_ai"
"Google AI Blog","https://blog.google/technology/ai/","https://blog.google/technology/ai/rss/","AI","[""ai-research"",""google"",""deep-learning"",""ai-products""]","true","technical_ai"
"Hugging Face Blog","https://huggingface.co/blog","https://huggingface.co/blog/feed.xml","AI","[""machine-learning"",""transformers"",""open-source-ai"",""llm""]","true","technical_ai"
"The Gradient","https://thegradient.pub/","https://thegradient.pub/rss/","AI","[""ai-research"",""machine-learning"",""nlp"",""deep-learning""]","true","technical_ai"
"Import AI (Jack Clark)","https://importai.substack.com/archive","https://importai.substack.com/feed","AI","[""ai-research"",""ai-policy"",""llm"",""ai-weekly""]","true","technical_ai"
"The Batch (deeplearning.ai)","https://www.deeplearning.ai/the-batch/","https://www.deeplearning.ai/the-batch/feed/","AI","[""ai-research"",""deep-learning"",""machine-learning"",""ai-weekly""]","true","technical_ai"
"Meta AI Research","https://ai.meta.com/blog/","https://ai.meta.com/blog/rss/","AI","[""ai-research"",""meta"",""open-source-ai"",""llama""]","true","technical_ai"
